state,HELLO,GOODBYE,STARTHERE,ENDHERE,TASK,ENDTASK,INVOLVES,NUMBER,STRING,BOOLEAN,ACCEPT,RETURN,WHILE,ENDWHILE,UNTIL,SHOW,FROM,ENDFROM,WHEN,ENDWHEN,OTHERWISE,ADD,SUB,MUL,DIV,MOD,COMMA,LPAREN,RPAREN,LOGOP,RELOP,PERIOD,COMMENT,NUMCONST,LITSTRING,BOOLEANCONST,ID,PERMANENT,CONCATENATE,NOT,ASSIGN,INCREMENT,BY,UNARYMINUS,UNARYPLUS,EOF,program,main,task,taskdeclaration,taskcalldec,taskcall,paramlist,declaration,datatype,initialization,statements,whilestatement,ifstatement,assignmentstatement,forloopstatement,returnstatement,iostatement,concatstatement,concatprime,relationalpexpr,logicalexpr,E,T,F,value,unaryoperator
0,S2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ACCEPT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,-,-,S153,-,-,-,-,S29,S30,S31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S26,-,-,-,-,-,-,-,-,-,160,-,-,-,-,-,51,32,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,-,-,S153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,-,S9,-,-,S16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,-,S7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,-,-,-,-,-,-,-,S29,S30,S31,S132,S124,S74,-,-,S135,S111,-,S80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S88,S26,S141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,33,35,12,37,39,41,43,49,45,47,-,-,-,-,-,-,-,-
12,-,-,-,-,-,S13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,-,R8,-,-,S16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,-,R7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,-,-,-,R9,-,R9,S18,R9,R9,R9,R9,R9,R9,-,-,R9,R9,-,R9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R9,R9,R9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,-,-,-,-,-,-,-,S29,S30,S31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S25,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,23,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,-,-,-,R10,-,R10,-,R10,R10,R10,R10,R10,R10,-,-,R10,R10,-,R10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R10,R10,R10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S24,-,-,-,-,S34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,-,-,-,-,-,-,-,S29,S30,S31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S25,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,23,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,S29,S30,S31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R17,-,-,-,-,R17,-,-,-,-,-,-,-,-,R17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R18,-,-,-,-,R18,-,-,-,-,-,-,-,-,R18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,-,-,-,R34,-,R34,-,S29,S30,S31,S132,S124,S74,R34,-,S135,S111,R34,S80,R34,R34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S88,S26,S141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,33,35,36,37,39,41,43,49,45,47,-,-,-,-,-,-,-,-
36,-,-,-,R26,-,R26,-,-,-,-,-,-,-,R26,-,-,-,R26,-,R26,R26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,-,-,-,R35,-,R35,-,S29,S30,S31,S132,S124,S74,R35,-,S135,S111,R35,S80,R35,R35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S88,S26,S141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,33,35,38,37,39,41,43,49,45,47,-,-,-,-,-,-,-,-
38,-,-,-,R27,-,R27,-,-,-,-,-,-,-,R27,-,-,-,R27,-,R27,R27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,-,-,-,R36,-,R36,-,S29,S30,S31,S132,S124,S74,R36,-,S135,S111,R36,S80,R36,R36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S88,S26,S141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,33,35,40,37,39,41,43,49,45,47,-,-,-,-,-,-,-,-
40,-,-,-,R28,-,R28,-,-,-,-,-,-,-,R28,-,-,-,R28,-,R28,R28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,-,-,-,R37,-,R37,-,S29,S30,S31,S132,S124,S74,R37,-,S135,S111,R37,S80,R37,R37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S88,S26,S141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,33,35,42,37,39,41,43,49,45,47,-,-,-,-,-,-,-,-
42,-,-,-,R29,-,R29,-,-,-,-,-,-,-,R29,-,-,-,R29,-,R29,R29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,-,-,-,R38,-,R38,-,S29,S30,S31,S132,S124,S74,R38,-,S135,S111,R38,S80,R38,R38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S88,S26,S141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,33,35,44,37,39,41,43,49,45,47,-,-,-,-,-,-,-,-
44,-,-,-,R30,-,R30,-,-,-,-,-,-,-,R30,-,-,-,R30,-,R30,R30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,-,-,-,R39,-,R39,-,S29,S30,S31,S132,S124,S74,R39,-,S135,S111,R39,S80,R39,R39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S88,S26,S141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,33,35,46,37,39,41,43,49,45,47,-,-,-,-,-,-,-,-
46,-,-,R31,-,-,R31,-,-,-,-,-,-,-,R31,-,-,-,R31,-,R31,R31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,-,-,R40,-,-,R40,-,S29,S30,S31,S132,S124,S74,R40,-,S135,S111,R40,S80,R40,R40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S88,S26,S141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,33,35,48,37,39,41,43,49,45,47,-,-,-,-,-,-,-,-
48,-,-,-,R32,-,R32,-,-,-,-,-,-,-,R32,-,-,-,R32,-,R32,R32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,-,-,-,R41,-,R41,-,S29,S30,S31,S132,S124,S74,R41,-,S135,S111,R41,S80,R41,R41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S88,S26,S141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,33,35,50,37,39,41,43,49,45,47,-,-,-,-,-,-,-,-
50,-,-,-,R33,-,R33,-,-,-,-,-,-,-,R33,-,-,-,R33,-,R33,R33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S52,-,-,-,-,-,-,-,-,S54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,-,-,R24,R24,-,R24,-,R24,R24,R24,R24,R24,R24,-,-,R24,R24,R24,R24,R24,R24,-,-,-,-,-,-,-,-,-,-,S52,-,-,-,-,R24,R24,R24,-,S54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,-,-,R22,R22,-,R22,-,R22,R22,R22,R22,R22,R22,-,-,R22,R22,R22,R22,R22,R22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R22,R22,R22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S62,S58,S61,S66,-,-,-,-,-,-,S65,S64,-,-,-,-,-,-,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,59
55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,-,-,R25,R25,-,R25,-,R25,R25,R25,R25,R25,R25,-,-,R25,R25,R25,R25,R25,R25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R25,R25,R25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,-,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,-,-,R23,R23,-,R23,-,R23,R23,R23,R23,R23,R23,-,-,R23,R23,R23,R23,R23,R23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R23,R23,R23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R70,-,-,-,-,-,-,-,-,-,-,-,R70,-,R70,-,-,R70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R71,-,-,-,-,-,-,-,-,-,-,-,R71,-,R71,-,-,R71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R72,-,-,-,-,-,-,-,-,-,-,-,R72,-,R72,-,-,R72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R73,-,-,-,-,-,-,-,-,-,-,-,R73,-,R73,-,-,R73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R74,-,-,-,-,-,-,-,-,-,-,-,R74,-,R74,-,-,R74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,-,-,-,-,-,-,S67,-,-,-,-,-,-,-,R13,-,-,-,-,-,-,-,-,-,-,-,R13,-,R13,-,-,R13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S62,S58,S61,S66,-,-,-,-,-,-,S65,S64,-,-,-,-,-,-,-,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,59
69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R14,-,-,-,-,-,-,-,-,R14,R14,R14,R14,-,R14,-,-,R14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S62,S58,S61,S66,-,-,-,-,-,-,S65,S64,-,-,-,-,-,-,-,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,59
73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S98,-,-,-,-,-,S62,S58,S61,S104,-,-,S131,-,-,-,S65,S64,-,-,-,-,-,-,63,-,-,-,-,-,-,-,-,-,-,-,-,-,127,75,130,101,108,105,59
75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,-,-,-,-,-,-,-,S29,S30,S31,S132,S124,S74,-,-,S135,S111,-,S80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S88,S26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,33,35,77,37,38,41,42,49,45,47,-,-,-,-,-,-,-,-
77,-,-,-,-,-,-,-,-,-,-,-,-,-,S78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,-,-,-,R42,-,R42,-,R42,R42,R42,R42,R42,R42,-,-,R42,R42,R42,R42,R42,R42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R42,R42,R42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S98,-,-,-,-,-,S62,S58,S61,S104,-,-,S131,-,-,-,S65,S64,-,-,-,-,-,-,63,-,-,-,-,-,-,-,-,-,-,-,-,-,127,81,130,101,108,105,59
